row_id,title,model,battery,price-range,0_-_100,top_speed,range*,efficiency*,fastcharge*,germany_price_before_incentives,netherlands_price_before_incentives,uk_price_after_incentives,drive_configuration,tow_hitch,towing_capacity_in_kg,number_of_seats
256,Mercedes-benz,EQE 350 4MATIC,89.0,157,6.3 sec,,,,640 km/h,74149.0,86263.0,0.0,All Wheel Drive,Towbar possible,750.0,5
257,Aiways,U5,60.0,131,7.5 sec,,,,380 km/h,39563.0,42950.0,0.0,Front Wheel Drive,,1500.0,5
258,Citroen,e-C4 X 54 kWh,50.8,125,9.3 sec,,,,470 km/h,41540.0,40755.0,0.0,Front Wheel Drive,,1500.0,5
259,Mercedes-benz,EQS AMG 53 4MATIC+,108.4,307,3.4 sec,,,,800 km/h,155009.0,173825.0,0.0,All Wheel Drive,Towbar possible,750.0,5
260,Fiat,500e 3+1 42 kWh,37.3,154,9.0 sec,,,,390 km/h,36990.0,35490.0,0.0,Front Wheel Drive,,1500.0,4
261,Abarth,500e Hatchback,37.8,172,7.0 sec,,,,370 km/h,37990.0,38490.0,0.0,Front Wheel Drive,,1500.0,4
262,Opel,Mokka-e 54 kWh,50.8,144,9.0 sec,,,,460 km/h,44720.0,37999.0,0.0,Front Wheel Drive,,1500.0,5
263,Nio,ET5 Touring 100 kWh,90.0,146,4.0 sec,,,,700 km/h,68500.0,72900.0,0.0,All Wheel Drive,Towbar possible,1400.0,5
264,Fisker,Ocean Sport,71.0,124,7.4 sec,,,,470 km/h,43900.0,43990.0,0.0,Front Wheel Drive,Towbar possible,1090.0,5
265,Audi,Q4 Sportback e-tron 55 quattro,77.0,157,5.4 sec,,,,620 km/h,61000.0,66665.0,0.0,All Wheel Drive,Towbar possible,1200.0,5
266,Mercedes-benz,EQS SUV 450 4MATIC,118.0,247,6.1 sec,,,,670 km/h,114609.0,129660.0,0.0,All Wheel Drive,Towbar possible,1800.0,7
267,Zeekr,X Long Range RWD,64.0,126,5.6 sec,,,,590 km/h,45970.0,43490.0,0.0,Rear Wheel Drive,Towbar possible,1600.0,5
268,Cupra,Born 170 kW - 58 kWh,58.0,121,6.6 sec,,,,460 km/h,40750.0,38989.0,0.0,Rear Wheel Drive,,1500.0,5
269,Citroen,e-C4 54 kWh,50.8,123,9.2 sec,,,,470 km/h,41540.0,39905.0,0.0,Front Wheel Drive,,1500.0,5
270,Mercedes-benz,EQA 300 4MATIC,66.5,161,7.7 sec,,,,500 km/h,53520.0,58959.0,0.0,All Wheel Drive,Towbar possible,1800.0,5
271,Nissan,Ariya e-4ORCE 87kWh - 290 kW,87.0,168,5.1 sec,,,,480 km/h,71490.0,64990.0,0.0,All Wheel Drive,Towbar possible,1500.0,5
272,Genesis,G80 Electrified Luxury,82.5,170,4.9 sec,,,,880 km/h,69200.0,58452.5,0.0,All Wheel Drive,,1500.0,5
273,Mercedes-benz,EQE 350,89.0,157,6.4 sec,,,,650 km/h,70995.0,83238.0,0.0,Rear Wheel Drive,Towbar possible,750.0,5
274,Volkswagen,ID.5 GTX,77.0,142,5.5 sec,,,,640 km/h,56455.0,62990.0,0.0,All Wheel Drive,Towbar possible,1200.0,5
275,Zeekr,001 Privilege AWD,94.0,139,3.8 sec,,,,670 km/h,68970.0,68490.0,0.0,All Wheel Drive,Towbar possible,2000.0,5
276,Volkswagen,ID.3 GTX Performance,79.0,118,5.6 sec,,,,690 km/h,53000.0,53000.0,0.0,Rear Wheel Drive,,1500.0,4
277,Lotus,Eletre S,109.0,255,4.5 sec,,,,1000 km/h,121990.0,124090.0,0.0,All Wheel Drive,Towbar possible,2250.0,5
278,Volvo,EC40 Twin Motor,79.0,160,4.8 sec,,,,600 km/h,61290.0,58452.5,0.0,All Wheel Drive,Towbar possible,1800.0,5
279,Peugeot,e-3008 73 kWh Dual Motor,73.0,136,6.4 sec,,,,440 km/h,50000.0,50000.0,0.0,All Wheel Drive,Towbar possible,1350.0,5
280,Hongqi,E-HS9 120 kWh,112.0,224,4.9 sec,,,,420 km/h,56202.0,102995.0,0.0,All Wheel Drive,Towbar possible,1500.0,5
281,Genesis,GV70 Electrified Sport,74.0,203,4.2 sec,,,,860 km/h,67300.0,58452.5,0.0,All Wheel Drive,Towbar possible,1800.0,5
282,Mercedes-benz,EQE SUV 350+,96.0,188,6.9 sec,,,,660 km/h,86811.0,91950.0,0.0,Rear Wheel Drive,Towbar possible,750.0,5
283,Mercedes-benz,EQE AMG 43 4MATIC,90.6,240,4.2 sec,,,,670 km/h,104756.0,111068.0,0.0,All Wheel Drive,Towbar possible,750.0,5
284,Ford,Mustang Mach-E SR AWD,72.6,170,6.2 sec,,,,430 km/h,56202.0,59400.0,0.0,All Wheel Drive,Towbar possible,750.0,5
285,Mercedes-benz,EQS 500 4MATIC,108.4,229,4.8 sec,,,,880 km/h,125378.0,145390.0,0.0,All Wheel Drive,Towbar possible,750.0,5
286,Citroen,e-Berlingo XL 50 kWh,50.0,171,11.7 sec,,,,340 km/h,37940.0,43178.0,0.0,Front Wheel Drive,Towbar possible,750.0,7
287,Mercedes-benz,EQE SUV 500 4MATIC,96.0,238,4.9 sec,,,,630 km/h,99841.0,116755.0,0.0,All Wheel Drive,Towbar possible,1800.0,5
288,Mercedes-benz,EQE AMG 53 4MATIC+,90.6,275,3.5 sec,,,,670 km/h,110706.0,128613.0,0.0,All Wheel Drive,Towbar possible,750.0,5
289,Bmw,i5 M60 xDrive Touring,81.2,263,3.9 sec,,,,670 km/h,101500.0,110477.0,0.0,All Wheel Drive,Towbar possible,2000.0,5
290,Mercedes-benz,EQA 350 4MATIC,66.5,178,6.0 sec,,,,500 km/h,56424.0,67308.0,0.0,All Wheel Drive,Towbar possible,1800.0,5
291,Porsche,Taycan 4S,82.3,251,3.7 sec,,,,1050 km/h,120900.0,126800.0,0.0,All Wheel Drive,,1500.0,5
292,Audi,Q4 Sportback e-tron 45 quattro,77.0,143,6.6 sec,,,,620 km/h,56950.0,58915.0,0.0,All Wheel Drive,Towbar possible,1200.0,5
293,Volkswagen,ID. Buzz LWB GTX,86.0,225,6.5 sec,,,,570 km/h,78000.0,78000.0,0.0,All Wheel Drive,Towbar possible,1600.0,7
294,Smart,#3 Pro+,62.0,122,5.8 sec,,,,550 km/h,43490.0,43395.0,0.0,Rear Wheel Drive,Towbar possible,1600.0,5
295,E.go,e.wave X,27.0,167,12.0 sec,,,,-,24990.0,58452.5,0.0,Rear Wheel Drive,,1500.0,4
296,Lotus,Emeya S,100.0,241,4.2 sec,,,,1230 km/h,126950.0,130585.0,0.0,All Wheel Drive,,1500.0,5
297,Polestar,3 Long Range Performance,107.0,198,4.7 sec,,,,610 km/h,92190.0,93550.0,0.0,All Wheel Drive,Towbar possible,2200.0,5
298,Fiat,500e Cabrio 42 kWh,37.3,166,9.0 sec,,,,380 km/h,37990.0,37490.0,0.0,Front Wheel Drive,,1500.0,4
299,Citroen,e-Berlingo M 50 kWh,50.0,162,11.7 sec,,,,350 km/h,36940.0,41358.0,0.0,Front Wheel Drive,Towbar possible,750.0,5
300,Volvo,EC40 Twin Motor Performance,79.0,157,4.6 sec,,,,600 km/h,64390.0,60995.0,0.0,All Wheel Drive,Towbar possible,1800.0,5
301,Lotus,Emeya R,100.0,324,2.8 sec,,,,1090 km/h,150990.0,155025.0,0.0,All Wheel Drive,,1500.0,5
302,Mercedes-benz,EQE 500 4MATIC,90.6,200,4.7 sec,,,,750 km/h,88215.0,113488.0,0.0,All Wheel Drive,Towbar possible,750.0,5
303,Porsche,Taycan Turbo S,97.0,410,2.4 sec,,,,1100 km/h,209900.0,218900.0,0.0,All Wheel Drive,,1500.0,5
304,Smart,#1 Premium,62.0,134,6.7 sec,,,,520 km/h,44990.0,44895.0,0.0,Rear Wheel Drive,Towbar possible,1600.0,5
305,Volvo,EX40 Twin Motor Performance,79.0,161,4.6 sec,,,,570 km/h,62890.0,59495.0,0.0,All Wheel Drive,Towbar possible,1800.0,5
306,Mercedes-benz,EQT 200 Standard,45.0,216,12.6 sec,,,,230 km/h,49445.0,47753.0,0.0,Front Wheel Drive,Towbar possible,1500.0,5
307,Mercedes-benz,EQE SUV 300,90.6,186,7.6 sec,,,,570 km/h,83479.0,83480.0,0.0,Rear Wheel Drive,Towbar possible,750.0,5
308,Volvo,EX90 Single Motor,101.0,182,8.4 sec,,,,600 km/h,83700.0,83495.0,0.0,Rear Wheel Drive,Towbar possible,1200.0,7
309,Porsche,Taycan 4 Cross Turismo,97.0,227,4.7 sec,,,,1110 km/h,113100.0,119400.0,0.0,All Wheel Drive,,1500.0,5
310,Audi,SQ8 e-tron Sportback,106.0,218,4.5 sec,,,,610 km/h,98050.0,101535.0,0.0,All Wheel Drive,Towbar possible,1800.0,5
311,Mercedes-benz,EQE SUV AMG 53 4MATIC+,90.6,353,3.5 sec,,,,610 km/h,139438.0,149788.0,0.0,All Wheel Drive,Towbar possible,1800.0,5
312,Xpeng,P7 AWD Performance,82.7,130,4.1 sec,,,,740 km/h,58600.0,61188.0,0.0,All Wheel Drive,,1500.0,5
313,Skoda,Enyaq RS,77.0,140,5.5 sec,,,,650 km/h,61050.0,58452.5,0.0,All Wheel Drive,Towbar possible,1200.0,5
314,Audi,Q8 e-tron Sportback 50 quattro,89.0,173,6.0 sec,,,,690 km/h,76650.0,73785.0,0.0,All Wheel Drive,Towbar possible,1800.0,5
315,Vinfast,VF 8 Eco Extended Range,87.7,126,5.9 sec,,,,550 km/h,52990.0,53900.0,0.0,All Wheel Drive,,1500.0,5
316,Byd,DOLPHIN 44.9 kWh Boost,44.9,125,8.0 sec,,,,260 km/h,30000.0,32990.0,0.0,Front Wheel Drive,,1500.0,5
317,Gwm,ORA 3 GT,59.3,152,8.2 sec,,,,280 km/h,49490.0,58452.5,0.0,Front Wheel Drive,,1500.0,5
318,Mercedes-benz,EQS SUV 500 4MATIC,118.0,257,5.3 sec,,,,670 km/h,124545.0,148173.0,0.0,All Wheel Drive,Towbar possible,1800.0,7
319,Mercedes-benz,eVito Tourer Long 90 kWh,90.0,245,12.1 sec,,,,320 km/h,72043.0,84773.0,0.0,Front Wheel Drive,,1500.0,8
320,Mercedes-benz,EQE SUV AMG 43 4MATIC,90.6,308,4.3 sec,,,,620 km/h,124920.0,130791.0,0.0,All Wheel Drive,Towbar possible,1800.0,5
321,Porsche,Taycan 4S Cross Turismo,97.0,247,3.8 sec,,,,1110 km/h,126400.0,132600.0,0.0,All Wheel Drive,,1500.0,5
322,Porsche,Taycan Turbo,97.0,329,2.7 sec,,,,1140 km/h,175600.0,183000.0,0.0,All Wheel Drive,,1500.0,5
323,Genesis,GV60 Sport,74.0,171,5.5 sec,,,,990 km/h,63200.0,58452.5,0.0,All Wheel Drive,Towbar possible,1600.0,5
324,Skoda,Enyaq Coupe 60,58.0,134,8.8 sec,,,,480 km/h,46850.0,47990.0,0.0,Rear Wheel Drive,Towbar possible,1000.0,5
325,Kia,e-Soul 39.2 kWh,39.2,164,9.9 sec,,,,200 km/h,56202.0,58452.5,0.0,Front Wheel Drive,,1500.0,5
326,Aiways,U6,60.0,138,7.0 sec,,,,430 km/h,47588.0,48975.0,0.0,Front Wheel Drive,,1500.0,5
327,Elaris,BEO 86 kWh,81.0,136,8.0 sec,,,,290 km/h,53090.0,58452.5,0.0,Front Wheel Drive,,1500.0,5
328,Peugeot,e-5008 73 kWh Dual Motor,73.0,154,6.0 sec,,,,420 km/h,55000.0,55000.0,0.0,All Wheel Drive,Towbar possible,1500.0,7
329,Porsche,Taycan Turbo S Cross Turismo,97.0,434,2.5 sec,,,,1050 km/h,211300.0,220400.0,0.0,All Wheel Drive,,1500.0,5
330,Nio,ET5 Touring 75 kWh,70.5,160,4.0 sec,,,,570 km/h,59500.0,63900.0,0.0,All Wheel Drive,Towbar possible,1400.0,5
331,Volkswagen,ID. Buzz LWB Pro,77.0,210,7.9 sec,,,,460 km/h,70000.0,70000.0,0.0,Rear Wheel Drive,Towbar possible,1500.0,7
332,Porsche,Taycan 4S Sport Turismo,82.3,280,3.7 sec,,,,950 km/h,121800.0,127800.0,0.0,All Wheel Drive,,1500.0,5
333,Nio,EL7 75 kWh,70.5,257,3.9 sec,,,,510 km/h,85900.0,88900.0,0.0,All Wheel Drive,Towbar possible,2000.0,5
334,Porsche,Taycan Sport Turismo,82.3,233,4.8 sec,,,,980 km/h,102400.0,108100.0,0.0,Rear Wheel Drive,,1500.0,5
335,Porsche,Taycan Plus Sport Turismo,97.0,212,4.8 sec,,,,1130 km/h,108124.0,114144.0,0.0,Rear Wheel Drive,,1500.0,5
336,Smart,#1 Pulse,62.0,142,4.5 sec,,,,500 km/h,46490.0,46055.0,0.0,All Wheel Drive,Towbar possible,1600.0,5
337,Vinfast,VF 8 Plus Extended Range,87.7,140,5.5 sec,,,,550 km/h,58890.0,59790.0,0.0,All Wheel Drive,,1500.0,5
338,Porsche,Taycan Turbo S Sport Turismo,97.0,447,2.4 sec,,,,1010 km/h,210800.0,219900.0,0.0,All Wheel Drive,,1500.0,5
339,Nio,EL6 75 kWh,70.5,191,4.5 sec,,,,520 km/h,65500.0,67900.0,0.0,All Wheel Drive,Towbar possible,1200.0,5
340,Fiat,500e Cabrio 24 kWh,21.3,250,9.0 sec,,,,230 km/h,35490.0,31990.0,0.0,Front Wheel Drive,,1500.0,4
341,Mercedes-benz,EQV 250 Extra-Long,60.0,363,12.0 sec,,,,200 km/h,76217.0,58452.5,0.0,Front Wheel Drive,,1500.0,7
342,Genesis,GV60 Sport Plus,74.0,206,4.0 sec,,,,950 km/h,73100.0,58452.5,0.0,All Wheel Drive,Towbar possible,1600.0,5
343,Abarth,500e Convertible,37.8,186,7.0 sec,,,,370 km/h,40990.0,41490.0,0.0,Front Wheel Drive,,1500.0,4
344,Porsche,Taycan 4S Plus Sport Turismo,97.0,254,3.7 sec,,,,1090 km/h,127322.0,133631.0,0.0,All Wheel Drive,,1500.0,5
345,Porsche,Taycan Turbo Sport Turismo,97.0,366,2.7 sec,,,,1030 km/h,176600.0,184000.0,0.0,All Wheel Drive,,1500.0,5
346,Fiat,500e 3+1 24 kWh,21.3,230,9.0 sec,,,,230 km/h,56202.0,30990.0,0.0,Front Wheel Drive,,1500.0,4
347,Porsche,Taycan Turbo Cross Turismo,97.0,348,2.8 sec,,,,1090 km/h,177000.0,184500.0,0.0,All Wheel Drive,,1500.0,5
348,Mercedes-benz,EQV 250 Long,60.0,350,12.0 sec,,,,200 km/h,75282.0,58452.5,0.0,Front Wheel Drive,,1500.0,7
349,Mercedes-benz,eVito Tourer Long 60 kWh,60.0,311,12.0 sec,,,,210 km/h,68398.0,58452.5,0.0,Front Wheel Drive,,1500.0,8
350,Mercedes-benz,eVito Tourer Extra-Long 60 kWh,60.0,322,12.0 sec,,,,200 km/h,69309.0,58452.5,0.0,Front Wheel Drive,,1500.0,8
351,Kgm,Torres EVX,72.0,130,8.1 sec,,,,390 km/h,43990.0,41250.0,0.0,Front Wheel Drive,Towbar possible,1500.0,5
352,Mini,Aceman E,38.5,163,7.9 sec,,,,370 km/h,37000.0,38990.0,0.0,Front Wheel Drive,,1500.0,5
353,Mini,Aceman SE,49.8,137,7.1 sec,,,,430 km/h,40000.0,42000.0,0.0,Front Wheel Drive,,1500.0,5
